plan_name_upper,plan_domain,lines,carrier_group,carrier_parent,carrier_type,resolved_from,submitter_group,submitter_type
ENGLOBAL CORPORATION,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
FIRST RESERVE CORPORATION LLC,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
INTEGRATED POWER SERVICES LLC,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
EMPIRE BLUE CROSS BLUE SHIELD NY,anthem.com,2,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
THSB 90 DEGREE,90degreebyreflex.com,2,90 Degree Benefits,90 Degree,TPA / ASO,name,Other / direct,Unclassified
IE SHAFFER - HORIZON BCBS,multiplan.com,2,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
"FISCHER USA STAINLESS STEEL TUBING, INC.",zelis.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
APACHE INDUSTRIAL HOLDINGS,springtidehealth.com,2,,,,,Other / direct,Unclassified
CIGNA - MARRIOTT INTERNATIONAL INC,cigna.com,2,Cigna,Cigna,Carrier,name,Cigna,Carrier
"STRIDE, INC",cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
RELEVANCE LAB INC,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"BONITA BAY CLUB, INC. WELFARE BENEFIT PL",zelis.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
INDUCTIVEHEALTH LLC,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
CIGNA HEALTHCAREC,multiplan.com,2,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
"OLIVER MANUFACTURING COMPANY, INC.",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ZELIS BCBS FEDERAL,zelis.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
BLUE CROSS BLUE SHIELD,bcbstc.com,2,,,,,Blues plan,Blues licensee
IUOE LOCAL 14,local14funds.org,2,,,,,Other / direct,Unclassified
ASSIETTE ENTERPRISES DBA ARROW GRAPHICS,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
EAST TEXAS BAPTIST UNIVERSITY,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
BLUE CROSS BLUE CARD,anthem.com,2,BCBS Federal Employee Program,BCBSA,Blues licensee,name,Anthem / Elevance,Carrier
PRIMARY CARE SOLUTIONS INC.,cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
INSURANCE BENEFIT ADMIN,alliednational.com,2,,,,,Other / direct,Unclassified
ANTHEM BCBS AZ,azblue.com,2,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
BCBS REGENCE,azblue.com,2,Regence,Cambia,Blues licensee,name,Blues plan,Blues licensee
ILWU-PMA ZELIS,blueshieldca.com,2,Blue Shield of California,Independent,Blues licensee,domain,Blues plan,Blues licensee
AETNA OUT OF NETWORK,aetna.com,2,Aetna,CVS Health,Carrier,name,Aetna,Carrier
"CVI, INC. DBA COMMERCIAL VAN INTERIORS",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
DEV HTH,devoted.com,2,,,,,Other / direct,Unclassified
TEAMSTERS WESTERN RGN LEGACY NEW JERSEY,eplanllc.com,2,,,,,Other / direct,Unclassified
"BUCKEYE TRANSPLANT SERVICES, LLC",clearhs.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,ClearHealth Strategies,Repricing vendor
"TUFTS BENEFIT ADMINISTRATORS, INC.",point32health.org,2,Point32Health,Point32,Carrier,name,Other / direct,Unclassified
GARDNER ORTHOPEDICS,anglehealth.com,2,,,,,Other / direct,Unclassified
"POLLY'S INC AD&D, DISABILITY AND LIFE IN",cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"PROPELLER INDUSTRIES, LLC",multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
FB FINANCIAL CORPORATION EMPLOYEE BENEFI,zelis.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
CIGNA HEALTH PLAN CIGNA,idr.com,2,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
BLUE CROSS BLUE SHIELD OF TEXA,bcbstx.com,2,BCBS Texas,HCSC,Blues licensee,domain,Blues plan,Blues licensee
"PHYSICIAN PARTNERS OF AMERICA, LLC",cigna.com,2,Cigna,Cigna,Carrier,domain,Cigna,Carrier
REMED RECOVERY CARE CENTERS,multiplan.com,2,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
