plan_name_upper,plan_domain,lines,carrier_group,carrier_parent,carrier_type,resolved_from,submitter_group,submitter_type
HEALTH OPTIONS,bcbsfl.com,10,Health Options,Independent,Carrier,name,Blues plan,Blues licensee
WELLNET HEALTHCARE ADMINSTRATORS INC,hstechnology.com,10,,,,,Other / direct,Unclassified
NEBA INC.,hstechnology.com,10,,,,,Other / direct,Unclassified
CIGNAPO BOX REDACTED HEALTHCARE,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ANTHEM BLUE CROSS,wellpoint.com,10,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
"EISNER ADVISORY GROUP, LLC",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
UNITED IMAGING HEALTHCARE NORTH AMERICA,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
UNITED HEALTHCARE- MULTIPLAN,uhc.com,10,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
"COMPASS HEALTH BRANDS, CORP.",springtidehealth.com,10,,,,,Other / direct,Unclassified
BLUECROSS BLUESHIELD TX,bcbstx.com,10,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
"DOCKER, INC. HEALTH AND WELFARE PLAN",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
INTER-AMERICAN DEVELOPMENT BANK GROUP,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"HEALTHCOMP INTEGRATED SOLUTIONS, LLC",personifyhealth.com,10,HealthComp,HealthComp,TPA / ASO,name,Other / direct,Unclassified
RLI CORP. GENERAL WELFARE BENEFITS PLAN,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
KEY BENEFIT ADMINISTRATORS,valenz.health.com,10,Independent TPA (small),Various,TPA / ASO,name,Other / direct,Unclassified
PA - BCBS IBC,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
HORIZON,claretiv.com,10,Horizon BCBS NJ,Independent,Blues licensee,name,Other / direct,Unclassified
"EMBARK PEOPLE, LLC",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
KAISER PERMANENTE WA,multiplan.com,10,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
BLUECROSS OF IDAHO,bcidaho.com,10,Blue Cross of Idaho,Independent,Blues licensee,name,Blues plan,Blues licensee
MASTER BUILDERS SOLUTIONS,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"OSISOFT, LLC EMPLOYEE BENEFITS PLAN",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"HEALTHCARE PARTNERS, IPA",hcpipa.com,10,,,,,Other / direct,Unclassified
BCBS OF MICHIGAN,multiplan.com,10,BCBS Michigan,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
EPISCOPAL CHURCH MEDICAL TRUST,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"REGAL CINEMAS, INC. FLEXIBLE BENEFITS PL",cigna.com,10,Cigna,Cigna,Carrier,domain,Cigna,Carrier
RADIOLOGY IMAGING ASSOCIATES P.C.,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
MITSUBISHI LOGISNEXT AMERICAS,uhc.com,10,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
FRONTPATH HEALTH-INSULATORS ASBESTOS LOC,benesys.com,10,,,,,Other / direct,Unclassified
KUEHNE & NAGEL INC.,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
US FAMILY HEALTH PLAN,usfhppacmed.org,10,,,,,Other / direct,Unclassified
AMBETTER FROM SUPERIOR HEALTH,centene.com,10,Centene,Centene,Carrier,name,Centene,Carrier
CHS IDR DEPT,clearhealthcloud.com,10,,,,vendor-desk,ClearHealth Strategies,Repricing vendor
NVIDIA CORPORATION,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
AMITA HCN,ascension.org,10,,,,,Other / direct,Unclassified
KAISER PERMANENTE CALIFORNIA,multiplan.com,10,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
"VISIBLE CHANGES, INC.",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
KAISER HEALTHPLAN OF WA,kp.org,10,Kaiser Permanente,Kaiser,Carrier,name,Kaiser Permanente,Carrier
NJ - BCBS HORIZON BLUE CARD,multiplan.com,10,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
CARESOURCE,carecource.com,10,CareSource,CareSource,Carrier,name,Other / direct,Unclassified
"MEDICAL ASSOCIATES HEALTH PLAN, FFS",mahealthcare.com,10,,,,,Other / direct,Unclassified
BSI COMPANIES,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
WEB TPA FIRST CHOICE,multiplan.com,10,WebTPA,WebTPA,TPA / ASO,name-override,MultiPlan / Claritev,Repricing vendor
CIGNA-EDI,cigna.com,10,Cigna,Cigna,Carrier,name,Cigna,Carrier
UNITE HEALTH CARE,uhc.com,10,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
AETNA CITIGROUP,aetna.com,10,Aetna,CVS Health,Carrier,name,Aetna,Carrier
UNITEDHEALTHCARE OXFORD,uhc.com,10,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
METLIFE,uhc.com,10,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
UNITED HEALTH SHARED SERVICES,clearhs.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,ClearHealth Strategies,Repricing vendor
GURWIN HEALTHCARE SYSTEM,springtidehealth.com,10,,,,,Other / direct,Unclassified
TEXAS TRUST CREDIT UNION,springtidehealth.com,10,,,,,Other / direct,Unclassified
CAREFIRST BLUECHOICE,carefirst.com,10,CareFirst,Independent,Blues licensee,name,Blues plan,Blues licensee
HEALTH PLANS INC. - KINDERCARE,phiagroup.com,10,Health Plans Inc,HPI,TPA / ASO,name,Other / direct,Unclassified
ANTHEM BCBS HEALTHCHOICE ASSURANCE,anthem.com,10,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
EWING IRRIGATION PRODUCTS INC. HEALTH AN,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
SEMINOLE COUNTY CLERK OF THE COURT & COM,cigna.com,10,Cigna,Cigna,Carrier,domain,Cigna,Carrier
HEALTHNET OF CALIFORNIA INC,healthnet.com,10,Centene,Centene,Carrier,name,Centene,Carrier
"REVANCE THERAPEUTICS, INC.",cigna.com,10,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"HEALTH PLANS, INC HPI",phiagroup.com,10,,,,,Other / direct,Unclassified
MODA HEALTH,zelis.com,10,Moda Health,Moda,Carrier,name,Zelis,Repricing vendor
GRAVIE INC,zelis.com,10,Gravie,Gravie,Carrier,name,Zelis,Repricing vendor
HORIZON BLUE CROSS BLUE SHEILD,multiplan.com,10,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
HARRIS COUNTY ESD 13 DBA CYPRESS CREEK,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ETHOS,healthez.com,10,,,,,Other / direct,Unclassified
BCBS AZ OUT OF STATE PPO-IL,azblue.com,10,BCBS Arizona,Independent,Blues licensee,name,Blues plan,Blues licensee
"TAYLOR BENEFIT RESOURCE, INC.",tbrtpa.com,10,,,,,Other / direct,Unclassified
FREDDIE MAC,cigna.com,10,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"DISNEY WORLDWIDE SERVICES, INC",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
BENJAMIN MOORE & CO,uhc.com,10,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
ALTRIA CLIENT SERVICES LLC,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"ANTHEM HEALTH PLANS, INC.",anthem.com,10,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
HIGHMARK BCBS WNY,highmark.com,10,Highmark,Highmark,Blues licensee,name,Blues plan,Blues licensee
HEALTHCOMP,fairos.com,10,HealthComp,HealthComp,TPA / ASO,name,Other / direct,Unclassified
WALKER ENGINEERING INC,springtidehealth.com,10,,,,,Other / direct,Unclassified
UPMC BENEFIT MANAGEMENT SERVICES INC.,claritev.com,10,UPMC Health Plan,UPMC,Provider-sponsored,name,MultiPlan / Claritev,Repricing vendor
BLUE SHIELD OF NEW HAMPSHIRE,logixhealth.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Other repricing vendor,Repricing vendor
"TARIAN GROUP, LLC",springtidehealth.com,10,,,,,Other / direct,Unclassified
"MCLARENS, LLC MEDICAL, RX AND DENTAL PLA",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
UMR,abadmin.com,10,UnitedHealthcare,UnitedHealth Group,Carrier,name,Other / direct,Unclassified
THE SHADE STORE,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"ANTHEMHEALTHPLANS, INC",anthem.com,10,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
CHEROKEE BRICK AND TILE CO EMPLOYEE BENEFIT PLAN,springtidehealth.com,10,,,,,Other / direct,Unclassified
MEDICAL MUTUAL OH,medmutual.com,10,Medical Mutual,Independent,Carrier,name,Other / direct,Unclassified
KELSEY SEYBOLD,kelsey-seybold.com,10,Kelsey-Seybold,Kelsey,Provider-sponsored,name,Other / direct,Unclassified
DISCOVERY EDUCATION INC,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
REGENCE BLUESHIELD FEP,regence.com,10,Regence,Cambia,Blues licensee,name,Blues plan,Blues licensee
"MINDRAY DS USA, INC. WELFARE BENEFIT PLA",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"NEW YORK COMMUNITY BANCORP, INC. GROUP B",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
HEALTH CARE ACCOUNT SERVICE CENTER,uhc.com,10,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
CONNECTIVERX,uhc.com,10,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
"RACK ROOM SHOES, INC",cigna.com,10,Cigna,Cigna,Carrier,domain,Cigna,Carrier
MOUNTAIN HEALTH,mhc.coop,10,,,,,Other / direct,Unclassified
LEARNING TECHNOLOGIES GROUP INC.,cigna.com,10,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"WGQ HOME SOLUTIONS, LLC",springtidehealth.com,10,,,,,Other / direct,Unclassified
BCBS FEP KENTUCKY,anthem.com,10,BCBS Federal Employee Program,BCBSA,Blues licensee,name,Anthem / Elevance,Carrier
GROUP HEALTH AND WELFARE PLAN FOR THE EM,cigna.com,10,Cigna,Cigna,Carrier,domain,Cigna,Carrier
ANCHOR BENEFITS,anchorbenefit.com,10,,,,,Other / direct,Unclassified
BCBS HORIZON NJ,multiplan.com,10,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
DEVOTED HEALTH INC,devoted.com,10,,,,,Other / direct,Unclassified
ANTHEM HEALTHKEEPERS,carefirst.com,10,Anthem / Elevance,Elevance,Carrier,name,Blues plan,Blues licensee
"COMMUNITIES IN SCHOOLS OF HOUSTON, INC.",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
HEALTH PARTNERS,springtidehealth.com,10,HealthPartners,HealthPartners,Carrier,name,Other / direct,Unclassified
BLUE CROSS AND BLUE SHIELD OF TEXAS,brmsonline.com,10,BCBS Texas,HCSC,Blues licensee,name,Other / direct,Unclassified
CIGNA HEAPO BOX REDACTEDLTHCARE,multiplan.com,10,Cigna,Cigna,Carrier,name,MultiPlan / Claritev,Repricing vendor
CAREFIRST BLUECROSS AND BLUESHIELD,carefirst.com,10,CareFirst,Independent,Blues licensee,name,Blues plan,Blues licensee
TROUTMAN PEPPER LOCKE LLP,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
KEYSTONE-KEMLON HEALTHCARE TRUST,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
IMPACT HEALTHCARE GROUP HEALTH PLAN,springtidehealth.com,10,,,,,Other / direct,Unclassified
LEGAL AID SOCIETY,cigna.com,10,Cigna,Cigna,Carrier,domain,Cigna,Carrier
HEALTH SCOPE,clearhealthcloud.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,ClearHealth Strategies,Repricing vendor
FINN PARTNERS INC,cigna.com,10,Cigna,Cigna,Carrier,domain,Cigna,Carrier
TRANSOCEAN,uhc.com,10,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
SALCOMP MANUFACTURING USA CORP.,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
GEHA-UHC,umr.com,10,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
DENTON COUNTY MHMR CENTER,springtidehealth.com,10,,,,,Other / direct,Unclassified
VERDEGARD,hmatpa.com,10,,,,,Other / direct,Unclassified
UHC UMR,clearhs.com,10,UnitedHealthcare,UnitedHealth Group,Carrier,name,ClearHealth Strategies,Repricing vendor
NOVEON MAGNETICS,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
HMO OF LOUISIANA,lablue.com,10,BCBS Louisiana,Elevance,Blues licensee,domain,Blues plan,Blues licensee
"SUNRUN, INC. HEALTH AND WELFARE BENEFIT",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"TATA CONSULTANCY SERVICES, LTD.",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ANTHEM BCBS HORIZON BCBS OF NEW JERSEY,horizonblue.com,10,Horizon BCBS NJ,Independent,Blues licensee,name,Blues plan,Blues licensee
UNITEDHEALTH SHARED SERVICES,imail.org,10,,,,,Other / direct,Unclassified
BLUE CROSS AND BLUE SHIELD,anthem.com,10,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
"PLURALSIGHT, LLC FLEXIBLE BENEFITS PLAN",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
BENEFIT MGMT INC,zelis.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
"PROJECT RESOURCES GROUP, INC. HEALTH AND",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
INSURANCE ADMINISTRATORS OF AMERICA,relianthp.com,10,,,,,Other / direct,Unclassified
"JETSUITEX, INC.",multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
IMAGINE360,imagine360.com,10,,,,,Other / direct,Unclassified
UNIVERSITY OF UTAH HEALTH PLANS,hsc.utah.edu,10,,,,,Other / direct,Unclassified
GLAZER'S BEER AND BEVERAGE,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
UMR,clearheatlhcloud.com,10,UnitedHealthcare,UnitedHealth Group,Carrier,name,Other / direct,Unclassified
COGENT BANK WELFARE PLAN,cigna.com,10,Cigna,Cigna,Carrier,domain,Cigna,Carrier
THE NORTHERN TRUST COMPANY EMPLOYEE WELF,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ARROW TRU-LINE INC,6degreeshealth.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Other repricing vendor,Repricing vendor
SUMMIT ADMIN,summit-inc.net,10,Independent TPA (small),Various,TPA / ASO,name,Other / direct,Unclassified
UNIFIED,unifiedgrp.com,10,,,,,Other / direct,Unclassified
BLUECROSS BLUE SHIELD,anthem.com,10,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
CIC GROUP INC,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
OXFORD- UHC,uhc.com,10,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
HORIZON OMNIA RWJ BARNABAS,horizonblue.com,10,Horizon BCBS NJ,Independent,Blues licensee,name,Blues plan,Blues licensee
U.S. MONEY RESERVE INC,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
FEDERAL BCBS OF TEXAS,bcbstx.com,10,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
FCS CONSTRUCTION,multiplan.com,10,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
GILSBAR,gilsbar.com,9,,,,,Other / direct,Unclassified
BC BS OF OKLAHOMA,bcbsok.com,9,BCBS Oklahoma,HCSC,Blues licensee,domain,Blues plan,Blues licensee
HARRISON ELECTRICAL HEALTHCARE,zelis.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
BLUE CROSS BLUESHIELD OF TEXAS,bcbstx.com,9,BCBS Texas,HCSC,Blues licensee,name,Blues plan,Blues licensee
"ENDO-THERAPEUTICS, INC. HEALTH BENEFIT PLAN",springtidehealth.com,9,,,,,Other / direct,Unclassified
CIGNA,evernorth.com,9,Cigna,Cigna,Carrier,name,Cigna,Carrier
CIGNA-THE MOSAIC COMPANY,cigna.com,9,Cigna,Cigna,Carrier,name,Cigna,Carrier
UHC ALLSAVERS,uhc.com,9,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
ALLIED BENEFITS SYSTEMS,clearhealthcloud.com,9,Allied Benefit Systems,Allied,TPA / ASO,name,ClearHealth Strategies,Repricing vendor
MARPAI HEALTH,zelis.com,9,Marpai Health,Marpai,TPA / ASO,name,Zelis,Repricing vendor
ALTAMED HEALTH SERVICES CORPORATION,la.altamed.org,9,,,,,Other / direct,Unclassified
SIGNATURE CARE,unifiedgrp.com,9,,,,,Other / direct,Unclassified
HEALTHSELECT,bcbsil.com,9,BCBS — HCSC (state not identified),HCSC,Blues licensee,domain,Blues plan,Blues licensee
GOLDENRULE,uhc.com,9,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
GPA,zelis.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
HEALTH SCOPE BENEFITS,clearhs.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,ClearHealth Strategies,Repricing vendor
HORIZON OMNIA MERIDIAN,multiplan.com,9,Horizon BCBS NJ,Independent,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
CIGNA,maximus.com,9,Cigna,Cigna,Carrier,name,Other / direct,Unclassified
"MFA HEALTH FUND, LLC",springtidehealth.com,9,,,,,Other / direct,Unclassified
BCBS FEDERAL EMPLOYEE PROGRAM GA,anthem.com,9,BCBS Federal Employee Program,BCBSA,Blues licensee,name,Anthem / Elevance,Carrier
GOLDEN RULE - UNITED HEALTHCARE,uhc.com,9,UnitedHealthcare,UnitedHealth Group,Carrier,name,UnitedHealthcare,Carrier
BOON -CHAPMAN BENEFIT ADMIN INC.,zelis.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
FL BLUE SHIELD,bcbsfl.com,9,Florida Blue,GuideWell,Blues licensee,domain,Blues plan,Blues licensee
ZELIS,asrhealthbenefits.com,9,,,,,Other / direct,Unclassified
MERITAIN HEALTH MC,aetna.com,9,Aetna,CVS Health,Carrier,name,Aetna,Carrier
CIGNA - THE MOSAIC COMPANY,cigna.com,9,Cigna,Cigna,Carrier,name,Cigna,Carrier
KAISER FOUNDATION HEALTHPI.AN NC,multiplan.com,9,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
BLUE CARD,multiplan.com,9,BCBS Federal Employee Program,BCBSA,Blues licensee,name,MultiPlan / Claritev,Repricing vendor
UA LOCAL,multiplan.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
HIP-EMBLEM HEALTH,emblemhealth.com,9,EmblemHealth,Emblem,Carrier,name,Other / direct,Unclassified
BLUE CROSS BLUE SHIELD OF NY,anthem.com,9,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
AETNA CHOICE,aetna.com,9,Aetna,CVS Health,Carrier,name,Aetna,Carrier
SANFORD HEALTH INSURANCE,sanfordhealth.org,9,,,,,Other / direct,Unclassified
"DREAM FINDERS HOMES, LLC HEALTH AND WELF",zelis.com,9,Government / public program,Government,Government,name,Zelis,Repricing vendor
CONSOCIATE HEALTH,hstechnology.com,9,Independent TPA (small),Various,TPA / ASO,name,Other / direct,Unclassified
SHEET METAL WORKERS LOCAL 36 WELFARE FUN,multiplan.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
BLUE CROSS BLUE SHIELD EMPIRE,anthem.com,9,Anthem / Elevance,Elevance,Carrier,name,Anthem / Elevance,Carrier
OMNICOM GROUP INC. - DAS,cigna.com,9,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"ENNIS, INC.",springtidehealth.com,9,,,,,Other / direct,Unclassified
KAISER FOUNDATION HEALTH PLAN NORTHERN C,multiplan.com,9,Kaiser Permanente,Kaiser,Carrier,name,MultiPlan / Claritev,Repricing vendor
IRADIMED CORPORATION,cigna.com,9,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"METROPOLIS EMPLOYEE SERVICES, LLC EMPLOY",cigna.com,9,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"BENEFIT MANAGEMENT, LLC",gotobmi.com,9,,,,,Other / direct,Unclassified
SIMON PROPERTY GROUP L.P WELFARE BENEFIT,cigna.com,9,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"FRONTIER LOGISTICS, LP",multiplan.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
ANTHEM BCBS - BCBS OF MN,anthem.com,9,BCBS Minnesota,Independent,Blues licensee,name,Anthem / Elevance,Carrier
"EISNER ADVISORY GROUP, LLC",cigna.com,9,Cigna,Cigna,Carrier,domain,Cigna,Carrier
"FIRSTCASH, INC. EMPLOYEE BENEFIT PLAN",cigna.com,9,Cigna,Cigna,Carrier,domain,Cigna,Carrier
FIRST BAPTIST CHURCH MT JULIET,cigna.com,9,Cigna,Cigna,Carrier,domain,Cigna,Carrier
PASO-PROVIDENCE HEALTH PLANS,providence.org,9,Providence Health Plan,Providence,Provider-sponsored,name,Other / direct,Unclassified
"M-D BUILDING PRODUCTS, INC.",springtidehealth.com,9,,,,,Other / direct,Unclassified
ALLIANCE HEALTH AND LIFE INSURANCE CO.,hap.org,9,,,,,Other / direct,Unclassified
RELIANCE,multiplan.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
AM CASTLE & CO EMPLOYEE WELFARE BENEFITS,cigna.com,9,Cigna,Cigna,Carrier,domain,Cigna,Carrier
HSN,cigna.com,9,Cigna,Cigna,Carrier,domain,Cigna,Carrier
PROMINENCE HEALTH PLAN,zelis.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
OPENLY LLC,multiplan.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
"CAPITAL DISTRICT PHYSICIANS' HEALTH PLAN, INC",zelis.com,9,CDPHP,CDPHP,Carrier,name,Zelis,Repricing vendor
AVERA HEALTH PLANS,averahealthplans.com,9,Avera Health Plans,Avera,Provider-sponsored,name,Other / direct,Unclassified
GLOBAL CARE INC,multiplan.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
PRUDENTIAL WEBTPA,webtpa.com,9,WebTPA,WebTPA,TPA / ASO,name-override,Other / direct,Unclassified
UNITED HALTHCARE,uhc.com,9,UnitedHealthcare,UnitedHealthcare,Carrier,domain,UnitedHealthcare,Carrier
HILTON EMPLOYER INC.,zelis.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,Zelis,Repricing vendor
HEALTHFIRST TPA,hfbenefits.com,9,Health First,Health First,Provider-sponsored,name,Other / direct,Unclassified
"MARRIOTT INTERNATIONAL, INC. HEALTH",multiplan.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
REFUGIO COUNTY MEMORIAL HOSPITAL HEALTH CARE PLAN,springtidehealth.com,9,,,,,Other / direct,Unclassified
FRONT PATH HEALTH COALITION,frontpathcoalition.com,9,,,,,Other / direct,Unclassified
"JENCAP GROUP, LLC",multiplan.com,9,Plan sponsor named (carrier not identified),Unknown,Employer / sponsor,sponsor,MultiPlan / Claritev,Repricing vendor
AETNA HEALTH PLANS,clearhs.com,9,Aetna,CVS Health,Carrier,name,ClearHealth Strategies,Repricing vendor
BLUE CROSS OF CALIF,wellpoint.com,9,Anthem / Elevance,Anthem / Elevance,Carrier,domain,Anthem / Elevance,Carrier
