provider_domain,lines,distinct_npis,filer_group,filer_type
bracewell.com,155,22,,
crmcwy.org,154,2,,
gsbwc.com,152,7,,
alliesclinic.com,151,1,,
szglaw.com,151,6,,
victoriaemergeny.com,150,0,,
plssurgery.com,150,3,,
advocatehealth.org,149,15,,
renown.org,146,3,,
medicaldebt.net,144,2,,
guardanthealth.com,141,1,,
promedbillingsvs.com,137,3,,
precisionmedarb.com,134,6,,
froedtert.com,134,3,,
docs4docs360.com,133,1,,
lmesq.com,130,5,,
bmcjax.com,127,1,,
mayo.edu,125,8,,
spinemedli.com,124,3,,
mvmhealth.com,122,2,,
bgc-law.com,113,7,,
atlanticbrainandspine.org,111,0,,
mountsinai.org,111,2,,
icare-er.com,103,4,,
hudsonneurosurgery.com,101,2,,
affinitymedsol.com,99,8,,
wellspan.org,98,6,,
seacoastspine.com,97,1,,
medallioncm.com,96,3,,
solutionsfmb.com,96,1,,
halifax.org,94,2,,
probillusa.com,94,4,,
lcabinskylaw.com,91,20,,
curamedgroup.com,86,1,,
piedmont.org,83,16,,
strg-pa.com,82,1,,
millermilone.com,81,9,,
alldataheatlh.com,81,3,,
secureabeo.com,80,1,,
zelis.com,79,7,,
arsahealth.com,78,6,,
aah.org,78,11,,
uhc.com,77,16,,
medstar.net,76,1,,
correctcareinc.com,74,2,,
hbcmd.com,73,3,,
gottusolaw.com,72,3,,
colemedical.com,66,3,,
laredoemergency.com,64,0,,
resourceone-llc.com,62,2,,
orthosurgteam.com,61,2,,
utrad.com,61,1,,
nphllc.com,59,2,,
alpinerevenuemanagement.com,57,4,,
primhealthcare.com,56,0,,
njss.net,56,4,,
sweetwatermemorial.com,55,1,,
siparadig.com,53,2,,
slhs.org,53,5,,
nosuprisebill.com,50,1,,
collectionpro.com,49,8,,
adelfimbs.com,45,12,,
sapientlogic.com,44,1,,
amprocesses.com,43,1,,
savantmeddata.com,43,1,,
accuratedebt.net,42,5,,
p1rs.com,42,1,,
hotmail.com,42,5,Individual practitioner (free email),Individual
devington.com,41,3,,
wisestaffbilling.com,40,2,,
eamedbill.com,40,5,,
pedsneurosurgerynj.com,40,1,,
hubcarepath.com,40,1,,
mssm.edu,39,3,,
multiplan.com,38,14,,
hpiinc.com,37,1,,
assureiom.com,36,2,,
onwusurgical.com,36,1,,
clearhs.com,36,8,,
arentfox.com,36,4,,
thenathlawfirm.com,35,1,,
outlook.com,35,1,Individual practitioner (free email),Individual
multicare.org,35,7,,
beverlyhillsherniacenter.com,35,2,,
nymedsol.com,35,1,,
od-ns.com,34,6,,
aoundphysicians.com,34,1,,
ccf.org,33,8,,
hamidmirmd.com,31,2,,
jenkinsneurospine.com,30,1,,
malvernridgesolutions.com,30,2,,
lakenormanofs.com,30,1,,
circadianbg.com,30,1,,
axisneuro.com,30,4,,
superesq.com,29,2,,
phoenix-rcm.com,29,2,,
forthesugeons.com,28,14,,
saparm.comc,28,1,,
primeheathcare.com,28,0,,
lvlgroup.com,26,1,,
cigna.com,26,4,,
upmc.edu,26,10,,
ventraheal.com,26,0,,
peakmedbilling.net,26,6,,
ppmaltd.com,26,1,,
exceptionalidr.com,26,2,,
lvl1grp.com,26,2,,
lipsg.com,25,6,,
summitdocs.com,25,3,,
fmolhs.org,24,3,,
billingiom.com,24,4,,
spspc.org,24,2,,
mehlingbilling.com,24,3,,
pnsnj.com,24,1,,
hcahealtcare.com,23,9,,
essentiahealth.org,23,14,,
harrisplasticsurgery.com,23,2,,
hsc.utah.edu,23,1,,
sidneyrmc.com,23,1,,
saintlukeskc.org,23,4,,
sonoranrm.comc,22,1,,
chomp.org,22,2,,
floresvillehealth.com,22,1,,
leverngear.com,21,14,,
bcbstx.com,21,5,,
redefinemanagement.filevineapp.com,21,4,,
cmbilling.net,20,5,,
primehealhcare.com,20,0,,
newyorkurologyspecialists.com,20,1,,
suffolksurgery.com,20,1,,
primehealth.com,20,1,,
fairview.org,19,2,,
nspc.com,19,9,,
primehealthcae.com,19,0,,
pritipatelmd.com,19,3,,
1021park.com,19,1,,
oharemedbill.com,19,1,,
quantumrad.com,19,1,,
gottleibandgreenspan.com,19,2,,
envisionhealth.comd,18,2,,
lnaapa.com,18,1,,
perfecture.com,18,1,,
guardianeuro.com,18,1,,
envisionhealth.comqpqpa,18,1,,
johnmuirhealth.com,18,2,,
adventhealth.comv,17,1,,
med-net.info,17,3,,
fam-ll.com,17,1,,
patriotcompli.com,16,4,,
selfregional.org,16,1,,
saparm.comq,16,1,,
revenuebilling.com,16,1,,
drnimapatel.com,16,1,,
empireradrm.co,15,1,,
physicianbillingsolutions.net,15,0,,
nycosmeticmd.com,15,3,,
zotecpartnerc.com,15,0,,
mdcapitalavisors.com,14,14,,
northjerseyvascular.com,14,1,,
tosmny.com,14,4,,
airmethods.com,14,1,,
sluhn.org,14,6,,
lvlgrp.com,14,1,,
newneurons.net,14,0,,
altushealth.com,14,4,,
froedtertsouth.com,13,1,,
nwendometriosis.com,13,4,,
radpa.com,13,1,,
verizon.net,13,1,,
envsionhealth.com,13,1,,
saparm.com424-352-0743,13,1,,
omegahms.com,13,1,,
saint-lukes.org,12,3,,
asterobgyn.com,12,4,,
linked2care.com,12,5,,
lafayetteheart.com,12,1,,
centralorthopedicgroup.com,12,1,,
spine-nj.com,12,1,,
bcbsk.com,12,1,,
adrightmedicalbilling.com,12,1,,
arietishealth.com,12,1,,
mdnmedicalbilling.com,12,5,,
drprpa.com,12,1,,
ecommunity.com,12,4,,
grewalspine.com,11,2,,
ccsamd.com,11,1,,
mcallener.com,11,0,,
jkcdocs.com,11,1,,
nwappc.com,11,0,,
billdex.org,10,2,,
cchmc.org,10,1,,
primehealthcare.com125.60,10,0,,
pepheath.net,10,0,,
hrmd.com,10,2,,
nuvasive.com,10,2,,
track.idrclaims.com,10,4,,
pedatrix.com,10,2,,
surgerymattersllc.com,10,3,,
srhc.com,10,2,,
uscas.com,10,1,,
foxxware.com,9,2,,
prremierchoicebill.com,9,1,,
fam-llc.comv,9,1,,
lpnt.net,9,5,,
hkmpp.com,9,2,,
callagrecovery.com,9,0,,
valleychildrens.org,9,1,,
divitiaembs.com,9,4,,
optonline.net,8,2,,
centrahealth.com,8,3,,
ymail.com,8,2,,
collectrx.com,8,2,,
medloopus.com,8,2,,
esasurgery.com,8,2,,
qumacsmso.com,8,4,,
bayhealth.org,8,2,,
forthesurgeon.com,8,8,,
synergenhealth.com,8,1,,
cornellmedclaim.com,8,3,,
bannerhealth.com,8,6,,
peditrix.com,8,1,,
pier17pmm.com,7,1,,
hcmsus.com,7,3,,
bhattlawgroup.com,7,2,,
reproductiveimmunology.com,7,1,,
longislandbraindandspine.com,7,1,,
gnrasst.com,7,0,,
aristaadvantage.com,7,2,,
soundphysicins.com,7,1,,
med-metrix.com,7,3,,
horizonblue.com,6,3,,
mettahealth.org,6,1,,
njms.rutgers.edu,6,1,,
transformweightlossllc.com,6,1,,
medrecoverysolutions.com,6,1,,
baycare.org,6,5,,
trinity-health.org,6,4,,
artplasticsurgeons.com,6,3,,
laurelchandlermd.com,6,1,,
winchebilling.com,6,0,,
ncpsmd.com,6,1,,
infamedics.com,6,1,,
mbbrm.comf,6,1,,
transformweightloss.com,6,1,,
mbbrm.comr,6,1,,
ascendarbitration.com,6,5,,
wakehealth.edu,6,2,,
versiti.org,6,1,,
integrityrcm.com,6,2,,
knowtionhealth.com,6,5,,
medwork.io,6,3,,
iorthomd.com,5,1,,
premierhosp.com,5,1,,
alldathealth.com,5,0,,
bcbst.com,5,2,,
piomneuro.com,5,1,,
klausnerinstitute.com,5,1,,
acuetrcm.com,5,1,,
alldathaealth.com,5,0,,
phxsurgery.com,5,1,,
azweightlossclinic.com,5,1,,
summitanesthesiaarbitration.com,5,5,,
ambpllc.com,5,1,,
nmbs1.com,5,3,,
clearhealthcloud.com,5,2,,
specialtyaestheticsurgery.com,5,1,,
smsneuro.comqaalerts,5,1,,
crmcollect.com,5,2,,
gpsmdpc.com,5,1,,
unitedx.com,5,1,,
dreyfuss.com,5,4,,
nebraskamed.com,5,2,,
precisionhub.com,5,1,,
neauroendomke.com,5,2,,
rightmedicalbilling.comq,5,1,,
castlebiosciences.com,5,2,,
careplusmp.com,5,0,,
bayortho.com,5,1,,
monitoringconcepts.net,5,4,,
ketteringhealth.org,5,4,,
amerorthopaedics.com,4,1,,
wvumedicine.org,4,3,,
valleywidesurgical.com,4,3,,
supmedmgmt.com,4,2,,
mdcapitaladvsors.com,4,1,,
eiomneuro.com,4,1,,
pediatix.com,4,1,,
mederiservices.com,4,2,,
edwinkwon.com,4,1,,
med.cornell.edu,4,2,,
stoughtonhealth.com,4,1,,
envisionhealth.comq,4,1,,
greathealthprovider.fake,4,1,,
alldataheallth.com,4,0,,
fam-llc.om,4,2,,
callagyreccovery.com,4,0,,
callagryrecovery.com,4,0,,
soundphysicains.com,4,1,,
"",4,2,,
callagylaw.co,4,0,,
forthesurgesons.com,4,3,,
claim-doc.com,4,1,,
